id	name	image	match_file	match_type
f_20005	ARK戰士	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20011	ARK幻魔	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20017	ARK工匠	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20023	ARK刺客	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20029	ARK道士	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20035	ARK射手	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20041	海之守護女神	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20042	海之守護女神	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20047	宇宙的覺悟者	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20048	宇宙的覺悟者	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20053	降龍之不戒尼	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20054	降龍之不戒尼	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20059	進擊的三公主	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20060	進擊的三公主	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20065	愛的连线·媒神	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20066	愛的连线·媒神	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20071	忠义之靈犬	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20072	忠义之靈犬	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20077	欧布莱特	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20078	欧布莱特	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20083	十文字茜	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
f_20089	卡尔娜	/cards/immortalchicks_ci/JP_Richarda.jpg	JP_Richarda.jpg	image_basename
