id	name	card_key	site_key	chosen_url	output_file	status
f_12	哨衛	哨衛				no_safe_match
f_18	衛隊長	衛隊長				no_safe_match
f_24	侍從	侍從				no_safe_match
f_41	聖光团長肖恩	聖光團長肖恩				no_safe_match
f_42	聖光团長肖恩	聖光團長肖恩				no_safe_match
f_48	槍骑兵	槍騎兵	槍騎士	https://immortalchicks.com/dg/card_viewer/ci/qiangqibing02.jpg	f_48_槍骑兵.jpg	downloaded
f_66	骑兵	騎兵	騎士	https://immortalchicks.com/dg/card_viewer/ci/jianqibing02.jpg	f_66_骑兵.jpg	downloaded
f_83	胜利衝锋詹姆	勝利衝锋詹姆				no_safe_match
f_84	胜利衝锋詹姆	勝利衝锋詹姆				no_safe_match
f_90	劍士	劍士				no_safe_match
f_96	大劍士	大劍士				no_safe_match
f_102	重劍士	重劍士				no_safe_match
f_108	佣兵	佣兵				no_safe_match
f_114	高級佣兵	高級佣兵				no_safe_match
f_120	佣兵隊長	佣兵隊長				no_safe_match
f_125	致命旋舞温蒂	致命旋舞溫蒂				no_safe_match
f_126	致命旋舞温蒂	致命旋舞溫蒂				no_safe_match
f_132	重弩手	重弩手				no_safe_match
f_138	禁衛重弩手	禁衛重弩手				no_safe_match
f_144	重弩上尉	重弩上尉				no_safe_match
f_150	连弩手	連弩手				no_safe_match
f_156	禁衛连弩手	禁衛連弩手				no_safe_match
f_162	连弩上尉	連弩上尉				no_safe_match
f_167	猎魔將軍范海辛	猎魔將軍范海辛				no_safe_match
f_168	猎魔將軍范海辛	猎魔將軍范海辛				no_safe_match
f_174	修女	修女				no_safe_match
f_180	戰斗修女	戰斗修女				no_safe_match
f_186	戰斗修女長	戰斗修女長				no_safe_match
f_192	执事	执事				no_safe_match
f_198	女牧師	女牧師				no_safe_match
f_308	花园聖衛莱拉妮	花园聖衛莱拉妮				no_safe_match
f_311	劳動模范白白	劳動模范白白				no_safe_match
f_312	劳動模范白白	劳動模范白白				no_safe_match
f_314	捣蛋鬼曼妮	捣蛋鬼曼妮				no_safe_match
f_317	庄主夫人	庄主夫人				no_safe_match
f_318	庄主夫人	庄主夫人				no_safe_match
f_320	女警薇薇安	女警薇薇安				no_safe_match
f_321	女警薇薇安	女警薇薇安				no_safe_match
f_323	滅龍	滅龍				no_safe_match
f_324	滅龍	滅龍				no_safe_match
f_326	威廉·華莱士	威廉華莱士				no_safe_match
f_327	威廉·華莱士	威廉華莱士				no_safe_match
f_329	小鲜肉	小鲜肉				no_safe_match
f_330	小鲜肉	小鲜肉				no_safe_match
f_332	後羿	後羿				no_safe_match
f_333	後羿	後羿				no_safe_match
f_335	嫦娥	嫦娥				no_safe_match
f_336	嫦娥	嫦娥				no_safe_match
f_338	阿拉貝拉修女	阿拉貝拉修女				no_safe_match
f_339	阿拉貝拉修女	阿拉貝拉修女				no_safe_match
f_341	虔诚者杰斯	虔诚者杰斯				no_safe_match
f_344	干將	干將				no_safe_match
f_347	莫邪	莫邪				no_safe_match
f_350	凛冬公主	凛冬公主				no_safe_match
f_351	凛冬公主	凛冬公主				no_safe_match
f_353	槍械師艾默炟	槍械師艾默炟				no_safe_match
f_356	哪吒	哪吒				no_safe_match
f_359	永恒大法師	永恒大法師				no_safe_match
f_360	永恒大法師	永恒大法師				no_safe_match
f_365	勤劳的农夫杰克	勤劳农夫杰克				no_safe_match
f_368	鲁班	鲁班				no_safe_match
f_371	波士顿人	波士顿人				no_safe_match
f_372	波士顿人	波士顿人				no_safe_match
f_380	劍術大師中泽琴	劍術大師中泽琴				no_safe_match
f_383	精衛·稚川	精衛稚川				no_safe_match
f_389	伊德尔	伊德尔				no_safe_match
f_392	巴比伦王吉尔加尔	巴比伦王吉尔加尔				no_safe_match
f_393	巴比伦王吉尔加尔	巴比伦王吉尔加尔				no_safe_match
f_398	炼尊	炼尊				no_safe_match
f_399	炼尊	炼尊				no_safe_match
f_404	宰相吉尔	宰相吉尔				no_safe_match
f_407	月老	月老				no_safe_match
f_410	尼羅河之靈	尼羅河靈				no_safe_match
f_413	银色守衛	銀色守衛				no_safe_match
f_414	银色守衛	銀色守衛				no_safe_match
f_416	姜子牙	姜子牙				no_safe_match
f_419	月神巫女	月神巫女				no_safe_match
f_422	紫绡劍爵	紫绡劍爵				no_safe_match
f_425	夸父	夸父				no_safe_match
f_428	百人隊長-臨時名	百人隊長臨時名				no_safe_match
f_431	血拳苍獠	血拳苍獠				no_safe_match
f_434	教父	教父				no_safe_match
f_435	教父	教父				no_safe_match
f_437	手帕	手帕				no_safe_match
f_440	神王奥丁	神王奥丁				no_safe_match
f_5006	精靈弓手	精靈弓手				no_safe_match
f_5012	精靈長弓手	精靈長弓手				no_safe_match
f_5018	精靈神射手	精靈神射手				no_safe_match
f_5024	精靈猎人	精靈猎人				no_safe_match
f_5030	精靈游侠	精靈游侠				no_safe_match
f_5036	精靈狙擊手	精靈狙擊手				no_safe_match
f_5048	精靈女巫	精靈女巫				no_safe_match
f_5054	精靈祭司	精靈祭司				no_safe_match
f_5060	精靈大祭司	精靈大祭司				no_safe_match
f_5066	精靈火法学徒	精靈火法学徒				no_safe_match
f_5072	精靈火法師	精靈火法師				no_safe_match
f_5078	精靈火魔导	精靈火魔导				no_safe_match
f_5090	天馬侦查兵	天馬侦查兵				no_safe_match
f_5096	天馬骑衛兵	天馬騎衛兵				no_safe_match
f_5102	天馬骑衛隊長	天馬騎衛隊長				no_safe_match
f_5108	天馬骑兵	天馬騎兵				no_safe_match
f_5114	天馬突擊兵	天馬突擊兵				no_safe_match
f_5120	天馬突擊隊長	天馬突擊隊長				no_safe_match
f_5132	精靈武士	精靈武士				no_safe_match
f_5138	精靈祝福武士	精靈祝福武士				no_safe_match
f_5144	精靈破法者	精靈破法者				no_safe_match
f_5150	精靈衛兵	精靈衛兵				no_safe_match
f_5156	精靈禁衛	精靈禁衛				no_safe_match
f_5162	精靈禁衛長	精靈禁衛長				no_safe_match
f_5174	精靈雷法学徒	精靈雷法学徒				no_safe_match
f_5180	精靈雷法師	精靈雷法師				no_safe_match
f_5186	精靈雷魔导	精靈雷魔导				no_safe_match
f_5192	精靈冰法学徒	精靈冰法学徒				no_safe_match
f_5198	精靈冰法師	精靈冰法師				no_safe_match
f_5204	精靈冰魔导	精靈冰魔导				no_safe_match
f_5216	精靈探子	精靈探子				no_safe_match
f_5233	影刃無息	影刃無息				no_safe_match
f_5257	萬物使者安缇諾雅	萬物使者安缇諾雅				no_safe_match
f_5261	火魔导師	火魔导師				no_safe_match
f_5264	执行者黛絲	执行者黛絲				no_safe_match
f_5267	莎尔的牧師	莎尔牧師				no_safe_match
f_5268	莎尔的牧師	莎尔牧師				no_safe_match
f_5291	纯淨之刃艾达	纯淨刃艾达				no_safe_match
f_5310	精靈守護者	精靈守護者				no_safe_match
f_5315	落葉使者莱纳斯	落葉使者莱纳斯				no_safe_match
f_5318	血炼	血炼				no_safe_match
f_5319	血炼	血炼				no_safe_match
f_5321	莱安娜女王	莱安娜女王				no_safe_match
f_5322	莱安娜女王	莱安娜女王				no_safe_match
f_5327	元素師艾萝拉	元素師艾萝拉				no_safe_match
f_5328	元素師艾萝拉	元素師艾萝拉				no_safe_match
f_5330	西海鹿女	西海鹿女				no_safe_match
f_5337	布莱欧妮	布莱欧妮				no_safe_match
f_5340	学姐索菲亞	学姐索菲亞				no_safe_match
f_5341	学姐索菲亞	学姐索菲亞				no_safe_match
f_5343	森林猎手霍克	森林猎手霍克				no_safe_match
f_5346	鬼人艾希	鬼人艾希				no_safe_match
f_5349	龍卷風巫師5982	龍卷風巫師5982				no_safe_match
f_5350	龍卷風巫師5982	龍卷風巫師5982				no_safe_match
f_5352	雪國聖使拉夫尔	雪國聖使拉夫尔				no_safe_match
f_5355	晶能靈師	晶能靈師				no_safe_match
f_6006	貓人劍客	貓人劍客				no_safe_match
f_6012	貓人刺客	貓人刺客				no_safe_match
f_6018	貓人刺殺大師	貓人刺殺大師				no_safe_match
f_6024	貓人信使	貓人信使				no_safe_match
f_6030	貓人斥候	貓人斥候				no_safe_match
f_6036	貓人追踪者	貓人追踪者				no_safe_match
f_6041	疾風劍瑪麗塔	疾風劍瑪麗塔				no_safe_match
f_6042	疾風劍瑪麗塔	疾風劍瑪麗塔				no_safe_match
f_6048	人馬骑兵	人馬騎兵				no_safe_match
f_6054	人馬游擊手	人馬游擊手				no_safe_match
f_6060	人馬游擊長	人馬游擊長				no_safe_match
