id	name	chosen_url	output_file	status
f_12	哨衛			no_name_match
f_18	衛隊長			no_name_match
f_24	侍從			no_name_match
f_41	聖光团長肖恩			no_name_match
f_42	聖光团長肖恩			no_name_match
f_83	胜利衝锋詹姆			no_name_match
f_84	胜利衝锋詹姆			no_name_match
f_90	劍士			no_name_match
f_96	大劍士			no_name_match
f_102	重劍士			no_name_match
f_108	佣兵			no_name_match
f_114	高級佣兵			no_name_match
f_120	佣兵隊長			no_name_match
f_125	致命旋舞温蒂			no_name_match
f_126	致命旋舞温蒂			no_name_match
f_132	重弩手			no_name_match
f_138	禁衛重弩手			no_name_match
f_144	重弩上尉			no_name_match
f_150	连弩手			no_name_match
f_156	禁衛连弩手			no_name_match
f_162	连弩上尉			no_name_match
f_167	猎魔將軍范海辛			no_name_match
f_168	猎魔將軍范海辛			no_name_match
f_174	修女			no_name_match
f_180	戰斗修女			no_name_match
f_186	戰斗修女長			no_name_match
f_192	执事			no_name_match
f_198	女牧師			no_name_match
f_308	花园聖衛莱拉妮			no_name_match
f_311	劳動模范白白			no_name_match
f_312	劳動模范白白			no_name_match
f_314	捣蛋鬼曼妮			no_name_match
f_317	庄主夫人			no_name_match
f_318	庄主夫人			no_name_match
f_320	女警薇薇安			no_name_match
f_321	女警薇薇安			no_name_match
f_323	滅龍			no_name_match
f_324	滅龍			no_name_match
f_326	威廉·華莱士			no_name_match
f_327	威廉·華莱士			no_name_match
f_329	小鲜肉			no_name_match
f_330	小鲜肉			no_name_match
f_332	後羿			no_name_match
f_333	後羿			no_name_match
f_335	嫦娥			no_name_match
f_336	嫦娥			no_name_match
f_338	阿拉貝拉修女			no_name_match
f_339	阿拉貝拉修女			no_name_match
f_341	虔诚者杰斯			no_name_match
f_344	干將			no_name_match
f_347	莫邪			no_name_match
f_350	凛冬公主			no_name_match
f_351	凛冬公主			no_name_match
f_353	槍械師艾默炟			no_name_match
f_356	哪吒			no_name_match
f_359	永恒大法師			no_name_match
f_360	永恒大法師			no_name_match
f_365	勤劳的农夫杰克			no_name_match
f_368	鲁班			no_name_match
f_371	波士顿人			no_name_match
f_372	波士顿人			no_name_match
f_380	劍術大師中泽琴			no_name_match
f_383	精衛·稚川			no_name_match
f_389	伊德尔			no_name_match
f_392	巴比伦王吉尔加尔			no_name_match
f_393	巴比伦王吉尔加尔			no_name_match
f_398	炼尊			no_name_match
f_399	炼尊			no_name_match
f_404	宰相吉尔			no_name_match
f_407	月老			no_name_match
f_410	尼羅河之靈			no_name_match
f_413	银色守衛			no_name_match
f_414	银色守衛			no_name_match
f_416	姜子牙			no_name_match
f_419	月神巫女			no_name_match
f_422	紫绡劍爵			no_name_match
f_425	夸父			no_name_match
f_428	百人隊長-臨時名			no_name_match
f_431	血拳苍獠			no_name_match
f_434	教父			no_name_match
f_435	教父			no_name_match
f_437	手帕			no_name_match
f_440	神王奥丁			no_name_match
f_5006	精靈弓手			no_name_match
f_5012	精靈長弓手			no_name_match
f_5018	精靈神射手			no_name_match
f_5024	精靈猎人			no_name_match
f_5030	精靈游侠			no_name_match
f_5036	精靈狙擊手			no_name_match
f_5048	精靈女巫			no_name_match
f_5054	精靈祭司			no_name_match
f_5060	精靈大祭司			no_name_match
f_5066	精靈火法学徒			no_name_match
f_5072	精靈火法師			no_name_match
f_5078	精靈火魔导			no_name_match
f_5090	天馬侦查兵			no_name_match
f_5096	天馬骑衛兵			no_name_match
f_5102	天馬骑衛隊長			no_name_match
f_5108	天馬骑兵			no_name_match
f_5114	天馬突擊兵			no_name_match
f_5120	天馬突擊隊長			no_name_match
f_5132	精靈武士			no_name_match
f_5138	精靈祝福武士			no_name_match
f_5144	精靈破法者			no_name_match
f_5150	精靈衛兵			no_name_match
f_5156	精靈禁衛			no_name_match
f_5162	精靈禁衛長			no_name_match
f_5174	精靈雷法学徒			no_name_match
f_5180	精靈雷法師			no_name_match
f_5186	精靈雷魔导			no_name_match
f_5192	精靈冰法学徒			no_name_match
f_5198	精靈冰法師			no_name_match
f_5204	精靈冰魔导			no_name_match
f_5216	精靈探子			no_name_match
f_5233	影刃無息			no_name_match
f_5257	萬物使者安缇諾雅			no_name_match
f_5261	火魔导師			no_name_match
f_5264	执行者黛絲			no_name_match
f_5267	莎尔的牧師			no_name_match
f_5268	莎尔的牧師			no_name_match
f_5291	纯淨之刃艾达			no_name_match
f_5310	精靈守護者			no_name_match
f_5315	落葉使者莱纳斯			no_name_match
f_5318	血炼			no_name_match
f_5319	血炼			no_name_match
f_5321	莱安娜女王			no_name_match
f_5322	莱安娜女王			no_name_match
f_5327	元素師艾萝拉			no_name_match
f_5328	元素師艾萝拉			no_name_match
f_5330	西海鹿女			no_name_match
f_5337	布莱欧妮			no_name_match
f_5340	学姐索菲亞			no_name_match
f_5341	学姐索菲亞			no_name_match
f_5343	森林猎手霍克			no_name_match
f_5346	鬼人艾希			no_name_match
f_5349	龍卷風巫師5982			no_name_match
f_5350	龍卷風巫師5982			no_name_match
f_5352	雪國聖使拉夫尔			no_name_match
f_5355	晶能靈師			no_name_match
f_6006	貓人劍客			no_name_match
f_6012	貓人刺客			no_name_match
f_6018	貓人刺殺大師			no_name_match
f_6024	貓人信使			no_name_match
f_6030	貓人斥候			no_name_match
f_6036	貓人追踪者			no_name_match
f_6041	疾風劍瑪麗塔			no_name_match
f_6042	疾風劍瑪麗塔			no_name_match
f_6048	人馬骑兵			no_name_match
f_6054	人馬游擊手			no_name_match
f_6060	人馬游擊長			no_name_match
f_6066	人馬骑射手			no_name_match
f_6072	人馬猎射手			no_name_match
f_6078	人馬神射手			no_name_match
f_6083	猎手诡狼			no_name_match
f_6084	猎手诡狼			no_name_match
f_6090	翼人武士			no_name_match
f_6096	翼人勇士			no_name_match
f_6102	翼人影武者			no_name_match
f_6108	翼人戰士			no_name_match
f_6114	翼人襲擊者			no_name_match
f_6120	翼人嗜血者			no_name_match
f_6125	苍翼族長拉姆			no_name_match
f_6126	苍翼族長拉姆			no_name_match
f_6138	兔人門生			no_name_match
f_6144	兔人劍客			no_name_match
f_6150	兔人劍豪			no_name_match
f_6156	兔人弓箭手			no_name_match
f_6162	兔人猎手			no_name_match
f_6168	兔人狙擊手			no_name_match
f_6173	狙殺大師汉娜			no_name_match
f_6174	狙殺大師汉娜			no_name_match
f_6180	狼人戰士			no_name_match
f_6186	狼人斗士			no_name_match
f_6192	狼人突襲者			no_name_match
f_6198	狼人猎手			no_name_match
f_6204	狼人嗜血者			no_name_match
f_6210	狼人血腥撕裂者			no_name_match
f_6215	荒野屠夫巴登			no_name_match
f_6216	荒野屠夫巴登			no_name_match
f_6239	情报專家靈耳			no_name_match
f_1006	僵尸衛兵			no_name_match
f_1012	僵尸哨衛			no_name_match
f_1018	僵尸衛隊長			no_name_match
f_1024	僵尸劍士			no_name_match
f_1030	僵尸戰士			no_name_match
f_1036	僵尸隊長			no_name_match
f_1041	不滅的克里斯			no_name_match
f_1042	不滅的克里斯			no_name_match
f_1054	吸血鬼贵族			no_name_match
f_1060	吸血鬼伯爵			no_name_match
f_1066	吸血鬼学徒			no_name_match
f_1072	吸血鬼法師			no_name_match
f_1078	吸血鬼导師			no_name_match
f_1083	嗜血亲王基拉			no_name_match
f_1084	嗜血亲王基拉			no_name_match
f_1090	冰幽靈			no_name_match
f_1096	寒冷幽靈			no_name_match
f_1102	冷風幽靈			no_name_match
f_1108	幽靈			no_name_match
f_1114	恐怖幽靈			no_name_match
f_1120	恐怖魅影			no_name_match
f_1125	绝望之靈			no_name_match
f_1126	绝望之靈			no_name_match
f_1132	骷髏劍士			no_name_match
f_1138	骷髏戰士			no_name_match
f_1144	骷髏百夫長			no_name_match
f_1150	骷髏投槍手			no_name_match
f_1156	骷髏投毒者			no_name_match
f_1162	骷髏剧毒散播者			no_name_match
f_1167	咒神者费蒙德			no_name_match
f_1168	咒神者费蒙德			no_name_match
f_1174	骷髏劍士			no_name_match
f_1180	骷髏戰士			no_name_match
f_1186	骷髏百夫長			no_name_match
f_1192	骷髏投槍手			no_name_match
f_1198	骷髏投毒者			no_name_match
f_1204	骷髏剧毒散播者			no_name_match
f_1209	咒神者费蒙德			no_name_match
f_1210	咒神者费蒙德			no_name_match
f_1216	恐惧骑兵			no_name_match
f_1222	恐惧骑士			no_name_match
f_1228	恐惧骑士隊長			no_name_match
f_1234	死亡骑兵			no_name_match
f_1240	死亡骑士			no_name_match
f_1246	死亡骑士隊長			no_name_match
f_1251	混沌領主庫彻			no_name_match
f_1252	混沌領主庫彻			no_name_match
f_1275	無盡之咒薩坦			no_name_match
f_1299	藏尸者亞伯			no_name_match
f_1302	缚根亡魂			no_name_match
f_1303	缚根亡魂			no_name_match
f_1305	黑暗女巫凡妮莎			no_name_match
f_1306	黑暗女巫凡妮莎			no_name_match
f_1311	死亡蝙蝠			no_name_match
f_1312	死亡蝙蝠			no_name_match
f_1314	無名幽靈			no_name_match
f_1338	大巫妖迪恩			no_name_match
f_1362	棺木看守布莱恩			no_name_match
f_1365	統領阿卡莎			no_name_match
f_1368	至高之主纳迦什			no_name_match
f_1369	至高之主纳迦什			no_name_match
f_1371	魔导師聖匣守衛			no_name_match
f_1372	魔导師聖匣守衛			no_name_match
f_1374	旱魃			no_name_match
f_1377	梁山伯			no_name_match
f_1378	梁山伯			no_name_match
f_1382	萬聖小丑			no_name_match
f_1383	萬聖小丑			no_name_match
f_1386	猩紅魔女			no_name_match
f_1392	绝命劍姬菲奥娜			no_name_match
f_2006	猎狗			no_name_match
f_2012	大型猎狗			no_name_match
f_2018	狂怒猎狗			no_name_match
f_2024	地狱犬			no_name_match
f_2030	大型地狱犬			no_name_match
f_2036	迅猛地狱犬			no_name_match
